Id,SalePrice
1461,91368.78775556874
1462,138579.8906461764
1463,151170.72148049087
1464,162992.6031041775
1465,170214.32843480248
1466,158039.16698612412
1467,171306.2099693349
1468,151188.79341606016
1469,181296.41593588784
1470,94290.08650909644
1471,180914.89619994967
1472,82586.204531673
1473,70281.46104151546
1474,136413.7291191736
1475,90302.14198980783
1476,321766.4512749375
1477,220637.07010661846
1478,290693.4028918648
1479,284779.09411799297
1480,401844.2257516955
1481,277161.0210345174
1482,192706.54539146565
1483,162297.2475896146
1484,149952.71710799856
1485,188304.68755518505
1486,195948.9950487977
1487,283061.9464141079
1488,238654.97658167483
1489,174673.56898974953
1490,232108.18597997708
1491,198837.18222035468
1492,78043.20641241013
1493,184784.49380488019
1494,270756.7573175661
1495,248106.0443310392
1496,238467.5730248902
1497,162570.0693650844
1498,162031.92843386903
1499,159708.86208137032
1500,151269.83537808177
1501,186876.64760260715
1502,141095.60281553457
1503,268780.2911917514
1504,231783.72109149804
1505,211540.00369773444
1506,179140.63056767103
1507,233232.04016982485
1508,190133.4317757513
1509,136818.52751585934
1510,115831.51151697943
1511,139662.21105156792
1512,157301.7635676202
1513,141351.44630588335
1514,90264.19781765447
1515,188194.22866188386
1516,142650.15165845118
1517,140536.71106244263
1518,98841.16988885414
1519,210987.27154635137
1520,112276.54006879497
1521,99243.9140358083
1522,175538.50529667165
1523,81245.66427862481
1524,112349.90899598924
1525,74695.37504291546
1526,71246.3005297354
1527,77171.7175519159
1528,130188.31265449035
1529,123627.96364720445
1530,183784.76039896987
1531,136466.0262526198
1532,60234.200429390185
1533,158701.2655182503
1534,141226.4462077187
1535,139555.02166940144
1536,85031.6255716508
1537,27647.859015849303
1538,146342.39058648795
1539,215743.70808628103
1540,65525.17966759519
1541,120528.85626282741
1542,132015.31005551852
1543,168943.66887096467
1544,73175.35928740702
1545,94199.44499057322
1546,124254.57964700973
1547,122928.03770083725
1548,114533.25490005035
1549,82643.36776262347
1550,122749.38171188522
1551,120062.34086687595
1552,130616.62291527784
1553,105120.0558262195
1554,102277.91544722486
1555,142086.95572110242
1556,86390.7583419407
1557,53355.02376156789
1558,109154.32854228024
1559,39780.36756848777
1560,114197.47969868232
1561,79554.89354090544
1562,121251.36700042523
1563,102301.1763834689
1564,145245.54171445
1565,115994.07668631058
1566,224642.47247950628
1567,71433.23147683288
1568,223530.47641489177
1569,110779.63384599518
1570,129540.63565882575
1571,81532.6302016403
1572,121417.28611274436
1573,230616.9130450723
1574,95796.75158798485
1575,210714.19076057093
1576,226296.2324155374
1577,172230.37046217616
1578,139386.61337298015
1579,98197.91636726027
1580,180352.92877092236
1581,143915.36177955614
1582,117405.30460789788
1583,266730.0174624633
1584,209690.82267296698
